id,is_del,sort,crtd_at,uptd_at,dltd_at,is_active,tree_id,tree_level,tree_left,tree_right,is_leaf,t_path,name,sname,abbr,stcode,initials,pinyin,longitude,latitude,area_code,zip_code,mname,msname,extra,suffix,is_hot,is_r,is_m,is_d,creator,pid
01GSWGT66SN259NQ5DEVENTFDZ,f,1,2023-03-03 15:17:06.927661+08,2023-03-03 15:17:06.927661+08,,t,1,1,1,2,t,,中国,"",,"",zg,Zhongguo,0,0,086,,"","","","",f,t,f,f,"",
01GSWGT66YKJTK652JWVJHYWSE,f,2,2023-03-03 15:17:06.942596+08,2023-03-03 15:17:06.942597+08,,t,1,2,2,3,t,01GSWGT66SN259NQ5DEVENTFDZ,北京,北京,,110000,bj,beijing,116.405281,39.904987,010,,北京市,北京,"",市,t,t,f,t,"",01GSWGT66SN259NQ5DEVENTFDZ
01GSWGT671R36DJKZPSHQCMFPB,f,3,2023-03-03 15:17:06.944774+08,2023-03-03 15:17:06.944774+08,,t,1,2,2,3,t,01GSWGT66SN259NQ5DEVENTFDZ,天津,天津,,120000,tj,tianjin,117.190186,39.125595,022,,天津市,天津,"",市,t,t,f,t,"",01GSWGT66SN259NQ5DEVENTFDZ
01GSWGT674E68279ME9C0K02MQ,f,4,2023-03-03 15:17:06.946072+08,2023-03-03 15:17:06.946072+08,,t,1,2,2,3,t,01GSWGT66SN259NQ5DEVENTFDZ,上海,上海,,310000,sh,shanghai,121.472641,31.231707,021,,上海市,上海,"",市,t,t,f,t,"",01GSWGT66SN259NQ5DEVENTFDZ
01GSWGT677GZN79KGXP4GSVPV7,f,5,2023-03-03 15:17:06.947319+08,2023-03-03 15:17:06.947319+08,,t,1,2,2,3,t,01GSWGT66SN259NQ5DEVENTFDZ,重庆,重庆,,500000,zq,zhongqing,106.504959,29.533155,023,,重庆市,重庆,"",市,t,t,f,t,"",01GSWGT66SN259NQ5DEVENTFDZ
01GSWGT67CCMJHNCDKYCN66TA2,f,6,2023-03-03 15:17:06.948549+08,2023-03-03 15:17:06.948549+08,,t,1,2,2,3,t,01GSWGT66SN259NQ5DEVENTFDZ,河北,河北,,130000,hb,hebei,114.502464,38.045475,,,河北省,河北,"",省,f,t,f,f,"",01GSWGT66SN259NQ5DEVENTFDZ
01GSWGT67FVFQCC5ZHXAYP44SV,f,7,2023-03-03 15:17:06.950218+08,2023-03-03 15:17:06.950218+08,,t,1,2,2,3,t,01GSWGT66SN259NQ5DEVENTFDZ,山西,山西,,140000,sx,shanxi,112.549248,37.857014,,,山西省,山西,"",省,f,t,f,f,"",01GSWGT66SN259NQ5DEVENTFDZ
01GSWGT67HXCW5RCDHVF6X5F4T,f,8,2023-03-03 15:17:06.951452+08,2023-03-03 15:17:06.951455+08,,t,1,2,2,3,t,01GSWGT66SN259NQ5DEVENTFDZ,内蒙古,内蒙古,,150000,nmg,neimenggu,111.670799,40.81831,,,内蒙古自治区,内蒙古,"",自治区,f,t,f,f,"",01GSWGT66SN259NQ5DEVENTFDZ
01GSWGT67M7M56RX7PRFHB6EM0,f,9,2023-03-03 15:17:06.952601+08,2023-03-03 15:17:06.952602+08,,t,1,2,2,3,t,01GSWGT66SN259NQ5DEVENTFDZ,辽宁,辽宁,,210000,ln,liaoning,123.429092,41.796768,,,辽宁省,辽宁,"",省,f,t,f,f,"",01GSWGT66SN259NQ5DEVENTFDZ
01GSWGT67QBVXCCW1SHD0PJDE0,f,10,2023-03-03 15:17:06.954904+08,2023-03-03 15:17:06.954904+08,,t,1,2,2,3,t,01GSWGT66SN259NQ5DEVENTFDZ,吉林,吉林,,220000,jl,jilin,125.324501,43.886841,,,吉林省,吉林,"",省,f,t,f,f,"",01GSWGT66SN259NQ5DEVENTFDZ
